LSOA11CD,crime_count,hotspot_10,ptal_score,imd_score,pop_density,road_density,node_density
E01000273,330.0,0.0,12.15,14.148,5069.8,33449.0,1138.0
E01000274,315.0,0.0,6.762,15.582,7245.5,44571.0,1272.0
E01000275,174.0,0.0,7.429,13.504,5255.2,40869.0,1031.0
E01000276,88.0,0.0,2.912,4.061,2999.2,29501.0,818.0
E01000277,213.0,0.0,10.138,18.23,8929.7,36280.0,846.0
E01000278,116.0,0.0,5.125,5.525,5361.4,35852.0,988.0
E01000279,173.0,0.0,1.49,8.956,270.7,10750.0,399.0
E01000280,135.0,0.0,4.762,3.958,1315.8,18082.0,612.0
E01000281,480.0,0.0,10.197,10.933,6645.6,49680.0,1794.0
E01000282,276.0,0.0,9.587,8.582,3419.7,35207.0,1435.0
E01000283,109.0,0.0,4.221,4.647,4148.3,31496.0,364.0
E01000284,278.0,0.0,7.858,15.477,6543.5,45096.0,1228.0
E01000285,168.0,0.0,3.186,15.134,7486.4,37289.6,1311.2
E01000286,243.0,0.0,4.575,23.897,6378.2,28515.0,978.0
E01000287,194.0,0.0,4.132,22.723,5963.4,35396.0,1256.0
E01000288,166.0,0.0,8.341,13.041,4587.5,43510.0,1500.0
E01000289,323.0,0.0,6.944,38.33,5629.4,39739.0,1133.0
E01000290,271.0,0.0,1.48,19.937,791.7,18535.0,651.0
E01000291,248.0,0.0,3.043,32.936,6254.0,40047.0,1436.0
E01000292,276.0,0.0,8.11,11.315,5366.4,38387.0,1413.0
E01000293,197.0,0.0,16.179,7.608,6476.6,37264.0,1344.0
E01000294,551.0,0.0,6.761,12.242,5469.6,27756.0,1231.0
E01000295,293.0,0.0,14.572,13.306,7908.9,41348.0,775.0
E01000296,621.0,0.0,16.798,12.11,7979.4,44271.0,1064.0
E01000297,154.0,0.0,5.743,9.009,6127.6,42874.0,906.0
E01000298,479.0,0.0,12.427,11.827,6432.3,38794.0,970.0
E01000299,655.0,0.0,12.996,17.004,13432.2,60935.0,1686.0
