LSOA11CD,imd_score,imd_decile
E01001127,9.41,8
E01001128,34.857,2
E01001129,4.626,10
E01001130,37.162,2
E01001131,12.694,7
E01001132,9.259,8
E01001133,11.327,7
E01001134,9.9,8
E01001135,8.602,9
E01001136,32.903,3
E01001137,23.5,4
E01001138,18.603,5
E01001139,19.585,5
E01001140,21.715,4
E01001141,27.47,3
E01001142,21.44,5
E01001143,30.177,3
E01001144,37.101,2
E01001145,39.931,2
E01001146,19.749,5
E01001147,34.0,2
E01001148,23.162,4
E01001149,16.06,6
E01001150,20.545,5
E01001151,40.839,2
E01001152,37.166,2
E01001153,22.665,4
E01001154,28.926,3
E01001155,43.809,2
E01001156,26.234,4
E01001157,18.181,5
E01001158,20.443,5
E01001159,14.456,6
E01001160,13.743,7
E01001161,42.566,2
E01001162,28.352,3
E01001163,16.31,6
E01001164,20.492,5
E01001165,24.16,4
E01001166,32.149,3
E01001167,21.834,4
E01001168,21.176,5
E01001169,32.702,3
E01001170,27.089,3
E01001171,24.566,4
E01001172,43.062,2
E01001173,19.768,5
E01001174,22.452,4
E01001175,30.599,3
E01001176,22.748,4
E01001177,31.6,3
E01001178,58.173,1
E01001179,20.706,5
E01001180,27.841,3
E01001181,42.449,2
E01001182,21.65,4
E01001183,24.133,4
E01001184,16.909,6
E01001185,19.985,5
E01001186,29.074,3
E01001187,20.607,5
E01001188,28.153,3
E01001189,17.717,5
E01001190,27.441,3
E01001191,34.93,2
E01001192,27.765,3
E01001193,34.356,2
E01001194,18.25,5
E01032569,45.186,1
E01001195,13.986,7
E01001196,38.041,2
E01001197,22.602,4
E01001198,14.822,6
E01001199,22.254,4
E01001200,15.981,6
E01001201,17.646,6
E01001202,33.786,2
E01001203,32.757,3
E01001204,13.681,7
E01001205,31.013,3
E01001206,42.319,2
E01001207,16.207,6
E01001208,11.841,7
E01001209,7.107,9
E01001210,50.708,1
E01001211,10.395,8
E01001212,13.453,7
E01001213,28.161,3
E01001214,15.937,6
E01001215,30.196,3
E01001216,22.184,4
E01001217,16.083,6
E01001218,36.313,2
E01001219,36.023,2
E01001220,47.749,1
E01001221,24.068,4
E01001222,21.852,4
E01001223,11.671,7
E01001224,9.146,8
E01001225,21.713,4
E01001226,13.363,7
E01001227,10.29,8
E01001228,11.398,7
E01001229,30.226,3
E01001230,21.257,5
E01001231,13.847,7
E01001232,23.753,4
E01001233,23.841,4
E01001234,22.923,4
E01001235,14.225,7
E01001236,16.278,6
E01001237,17.023,6
E01001238,24.534,4
E01001239,32.662,3
E01001240,20.451,5
E01001241,22.203,4
E01001242,26.914,3
E01001243,25.381,4
E01001244,28.857,3
E01001245,15.441,6
E01001246,32.021,3
E01001247,21.278,5
E01001248,17.386,6
E01001249,41.534,2
E01001250,37.117,2
E01001251,18.709,5
E01001252,25.654,4
E01001253,15.645,6
E01001254,14.588,6
E01001255,13.456,7
E01001257,40.826,2
E01001258,15.858,6
E01001259,20.119,5
E01001260,20.741,5
E01001261,22.674,4
E01001262,31.334,3
E01001263,34.487,2
