LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01001195,264.0,0.0,0.0,0.0,0.0,13.986,7,8.06875,4402.6,37909.0,758.0
E01001196,458.0,0.0,0.0,0.0,0.0,38.041,2,11.8436,7055.0,81476.0,2145.0
E01001197,278.0,0.0,0.0,0.0,0.0,22.602,4,7.27699,4598.0,39356.0,841.0
E01001198,209.0,0.0,0.0,0.0,0.0,14.822,6,6.1072,14268.7,98623.0,1706.0
E01001199,354.0,0.0,0.0,0.0,0.0,22.254,4,7.80866,15703.5,115472.0,1977.0
E01001200,344.0,0.0,0.0,0.0,0.0,15.981,6,4.75259,11781.2,95010.0,1530.0
E01001201,263.0,0.0,0.0,0.0,0.0,17.646,6,5.55384,12985.3,90204.0,1268.0
E01001202,1279.0,1.0,1.0,1.0,1.0,33.786,2,15.4907,15312.1,97338.0,3313.0
E01001203,473.0,0.0,0.0,0.0,0.0,32.757,3,11.5373,18327.9,91318.0,2704.0
E01001204,177.0,0.0,0.0,0.0,0.0,13.681,7,9.82003,9584.3,35333.0,664.0
E01001205,237.0,0.0,0.0,0.0,0.0,31.013,3,7.12506,7234.0,55113.0,1329.0
E01001206,371.0,0.0,0.0,0.0,0.0,42.319,2,5.11688,10534.0,47379.0,1266.0
E01001207,318.0,0.0,0.0,0.0,0.0,16.207,6,11.1594,11047.0,42238.0,1301.0
E01001208,175.0,0.0,0.0,0.0,0.0,11.841,7,8.15917,2523.2,27226.0,661.0
E01001209,323.0,0.0,0.0,0.0,0.0,7.107,9,4.40132,6078.0,31058.0,490.0
E01001210,392.0,0.0,0.0,0.0,0.0,50.708,1,9.25472,8342.9,35674.0,1374.0
E01001211,173.0,0.0,0.0,0.0,0.0,10.395,8,6.77418,9639.1,34851.0,768.0
E01001212,229.0,0.0,0.0,0.0,0.0,13.453,7,8.41055,6191.3,34182.0,902.0
E01001213,366.0,0.0,0.0,0.0,0.0,28.161,3,12.4024,13302.4,30113.0,407.0
E01001214,219.0,0.0,0.0,0.0,0.0,15.937,6,8.05694,7511.8,30990.0,765.0
E01001215,572.0,0.0,0.0,0.0,1.0,30.196,3,17.6073,11828.6,40847.0,1080.0
E01001216,228.0,0.0,0.0,0.0,0.0,22.184,4,10.8794,12328.9,51848.0,1499.0
E01001217,208.0,0.0,0.0,0.0,0.0,16.083,6,4.49055,7783.1,40382.0,1339.0
E01001218,418.0,0.0,0.0,0.0,0.0,36.313,2,4.8878,7428.7,35536.0,954.0
E01001219,437.0,0.0,0.0,0.0,0.0,36.023,2,5.44864,13246.8,41183.0,1021.0
E01001220,379.0,0.0,0.0,0.0,0.0,47.749,1,7.48066,1626.6,23709.0,1025.0
E01001221,,,,,,24.068,4,31.6011,,39819.0,1982.0
E01001222,,,,,,21.852,4,19.6876,,32072.0,1358.0
E01001223,214.0,0.0,0.0,0.0,0.0,11.671,7,14.3254,6508.5,23190.0,725.0
E01001224,195.0,0.0,0.0,0.0,0.0,9.146,8,8.95784,6521.7,26596.0,446.0
E01001225,859.0,0.0,1.0,1.0,1.0,21.713,4,32.1159,7727.5,32234.0,1272.0
E01001226,161.0,0.0,0.0,0.0,0.0,13.363,7,16.6827,6604.1,27507.0,689.0
E01001227,181.0,0.0,0.0,0.0,0.0,10.29,8,9.71054,8797.0,35749.0,831.0
E01001228,264.0,0.0,0.0,0.0,0.0,11.398,7,24.1783,6897.3,30369.0,840.0
