LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density,MSOA11CD,RGN11CD
E01001495,336.0,0.0,0.0,0.0,0.0,12.544,7,8.265,11971.5,41226.0,863.0,E02000305,E12000007
E01001496,251.0,0.0,0.0,0.0,0.0,14.271,6,2.866,7266.8,40766.0,723.0,E02000302,E12000007
E01001497,261.0,0.0,0.0,0.0,0.0,23.466,4,2.738,7165.4,59547.0,1499.0,E02000307,E12000007
E01001498,1009.0,0.0,1.0,1.0,1.0,17.405,6,11.008,9638.0,40255.0,1181.0,E02000305,E12000007
E01001499,323.0,0.0,0.0,0.0,0.0,24.023,4,5.506,7389.6,88597.0,3817.0,E02000307,E12000007
E01001500,327.0,0.0,0.0,0.0,0.0,19.827,5,6.562,7074.8,55029.0,1468.0,E02000311,E12000007
E01001501,767.0,0.0,0.0,1.0,1.0,26.291,4,12.511,7321.9,45701.0,2344.0,E02000312,E12000007
E01001502,644.0,0.0,0.0,0.0,1.0,31.213,3,6.394,6961.2,31516.0,597.0,E02000294,E12000007
E01001503,491.0,0.0,0.0,0.0,0.0,28.155,3,7.15,11079.8,30808.0,454.0,E02000294,E12000007
E01001504,349.0,0.0,0.0,0.0,0.0,30.29,3,6.692,11778.6,31944.0,603.0,E02000288,E12000007
E01001505,447.0,0.0,0.0,0.0,0.0,33.573,2,13.434,10072.0,35044.0,1313.0,E02000288,E12000007
E01001506,702.0,0.0,0.0,0.0,0.0,38.67,2,3.204,6515.1,17065.0,493.0,E02000290,E12000007
E01001507,1268.0,1.0,1.0,1.0,1.0,40.471,2,13.134,9641.7,44659.0,2177.0,E02000288,E12000007
E01001508,602.0,0.0,0.0,0.0,1.0,31.854,3,10.609,11778.3,46395.0,2297.0,E02000288,E12000007
E01001509,462.0,0.0,0.0,0.0,0.0,34.342,2,8.032,12168.8,48857.0,1501.0,E02000290,E12000007
E01001510,702.0,0.0,0.0,0.0,0.0,47.177,1,6.111,6515.1,58021.0,1782.0,E02000290,E12000007
E01001511,677.0,0.0,0.0,1.0,1.0,21.859,4,9.963,4948.5,33343.0,965.0,E02000292,E12000007
E01001512,607.0,0.0,0.0,0.0,1.0,18.403,5,14.49,11946.5,29671.0,909.0,E02000291,E12000007
E01001513,1548.0,1.0,1.0,1.0,1.0,33.421,2,7.433,2085.2,33240.0,1506.0,E02000288,E12000007
E01001514,318.0,0.0,0.0,0.0,0.0,21.731,4,5.784,12902.0,38885.0,564.0,E02000292,E12000007
E01001515,514.0,0.0,0.0,0.0,0.0,37.118,2,8.159,15806.9,56162.0,2019.0,E02000291,E12000007
E01001516,550.0,0.0,0.0,0.0,0.0,28.911,3,3.863,6476.5,28064.0,882.0,E02000281,E12000007
E01001517,451.0,0.0,0.0,0.0,0.0,48.739,1,5.995,11267.2,44760.0,1348.0,E02000282,E12000007
E01001518,500.0,0.0,0.0,0.0,0.0,22.402,4,8.496,3021.3,30185.0,1122.0,E02000292,E12000007
E01001519,305.0,0.0,0.0,0.0,0.0,13.242,7,16.757,6248.6,53649.0,2351.0,E02000296,E12000007
E01001520,327.0,0.0,0.0,0.0,0.0,17.439,6,11.837,5266.6,30724.0,920.0,E02000295,E12000007
E01001521,211.0,0.0,0.0,0.0,0.0,8.942,8,11.234,3874.0,32242.0,1132.0,E02000304,E12000007
E01001522,293.0,0.0,0.0,0.0,0.0,14.078,7,3.442,8854.8,45106.0,4314.0,E02000295,E12000007
E01001523,205.0,0.0,0.0,0.0,0.0,8.803,8,2.545,3547.1,37766.0,1987.0,E02000295,E12000007
E01001524,232.0,0.0,0.0,0.0,0.0,21.144,5,8.077,6061.3,43703.0,717.0,E02000295,E12000007
E01001525,273.0,0.0,0.0,0.0,0.0,16.784,6,8.666,8382.4,33826.0,780.0,E02000296,E12000007
E01001526,151.0,0.0,0.0,0.0,0.0,10.158,8,3.273,5658.0,42808.0,735.0,E02000295,E12000007
E01001527,353.0,0.0,0.0,0.0,0.0,15.807,6,8.821,5221.1,44058.0,1454.0,E02000312,E12000007
E01001528,439.0,0.0,0.0,0.0,0.0,34.923,2,17.635,8092.0,73574.0,2645.0,E02000308,E12000007
E01001529,345.0,0.0,0.0,0.0,0.0,32.233,3,23.496,10751.2,39138.0,1102.0,E02000308,E12000007
E01001530,265.0,0.0,0.0,0.0,0.0,20.501,5,16.41,8279.0,47202.0,1439.0,E02000308,E12000007
E01001531,145.0,0.0,0.0,0.0,0.0,8.429,9,5.256,6298.2,37837.0,583.0,E02000304,E12000007
E01001532,259.0,0.0,0.0,0.0,0.0,8.506,9,6.983,5760.3,29766.0,725.0,E02000304,E12000007
E01001533,180.0,0.0,0.0,0.0,0.0,7.078,9,5.027,5074.8,25234.0,469.0,E02000304,E12000007
E01001534,552.0,0.0,0.0,0.0,0.0,11.197,8,15.549,4186.9,36644.0,1100.0,E02000308,E12000007
E01001535,302.0,0.0,0.0,0.0,0.0,14.357,6,12.474,3580.5,36395.0,1014.0,E02000304,E12000007
E01001536,1098.0,1.0,1.0,1.0,1.0,18.752,5,16.241,4546.5,40990.0,2015.0,E02000284,E12000007
E01001537,252.0,0.0,0.0,0.0,0.0,11.559,7,3.088,9011.0,38885.0,1112.0,E02000281,E12000007
E01001538,168.0,0.0,0.0,0.0,0.0,11.124,8,2.478,6584.2,37805.0,1621.0,E02000285,E12000007
E01001539,216.0,0.0,0.0,0.0,0.0,15.185,6,3.624,7545.6,38966.0,883.0,E02000285,E12000007
E01001540,523.0,0.0,0.0,0.0,0.0,14.261,6,10.064,7361.9,26681.0,754.0,E02000284,E12000007
E01001541,178.0,0.0,0.0,0.0,0.0,9.711,8,7.15,8440.8,37299.0,1110.0,E02000284,E12000007
E01001542,277.0,0.0,0.0,0.0,0.0,18.608,5,6.095,8497.0,40832.0,1020.0,E02000284,E12000007
E01001543,186.0,0.0,0.0,0.0,0.0,9.625,8,3.316,7766.6,32065.0,641.0,E02000285,E12000007
E01001544,393.0,0.0,0.0,0.0,0.0,9.567,8,13.137,5590.4,29919.0,1175.0,E02000285,E12000007
E01001545,391.0,0.0,0.0,0.0,0.0,45.483,1,3.996,5462.2,29890.0,705.0,E02000278,E12000007
E01001546,332.0,0.0,0.0,0.0,0.0,27.925,3,4.369,7598.5,28324.0,688.0,E02000277,E12000007
E01001547,598.0,0.0,0.0,0.0,1.0,29.152,3,7.185,8411.7,42207.0,1544.0,E02000278,E12000007
E01001548,427.0,0.0,0.0,0.0,0.0,32.093,3,5.884,6447.0,42128.0,1120.0,E02000278,E12000007
E01001549,538.0,0.0,0.0,0.0,0.0,42.876,2,4.969,7356.0,33712.0,1198.0,E02000282,E12000007
E01001550,302.0,0.0,0.0,0.0,0.0,36.024,2,4.125,8123.0,35996.0,788.0,E02000282,E12000007
E01001551,602.0,0.0,0.0,0.0,1.0,42.143,2,3.834,5860.8,37650.0,1086.0,E02000278,E12000007
E01001552,556.0,0.0,0.0,0.0,0.0,26.37,4,7.184,6934.0,38489.0,1437.0,E02000277,E12000007
E01001553,351.0,0.0,0.0,0.0,0.0,38.285,2,6.275,8743.1,62595.0,1098.0,E02006793,E12000007
E01001554,923.0,0.0,1.0,1.0,1.0,42.024,2,14.82,14896.4,46911.0,1515.0,E02006793,E12000007
E01001555,729.0,0.0,0.0,1.0,1.0,34.676,2,16.823,15968.5,44621.0,682.0,E02000309,E12000007
E01001556,301.0,0.0,0.0,0.0,0.0,19.27,5,5.52,7327.2,71872.0,1503.0,E02000311,E12000007
E01001557,413.0,0.0,0.0,0.0,0.0,30.164,3,4.192,13325.6,36333.0,522.0,E02000309,E12000007
E01001558,1351.0,1.0,1.0,1.0,1.0,39.726,2,19.992,13836.4,49046.0,1583.0,E02000309,E12000007
E01001559,2350.0,1.0,1.0,1.0,1.0,41.09,2,4.198,2308.6,34534.0,1562.0,E02000309,E12000007
E01001560,374.0,0.0,0.0,0.0,0.0,34.488,2,8.101,5944.0,39722.0,1193.0,E02000311,E12000007
E01001562,498.0,0.0,0.0,0.0,0.0,46.641,1,6.186,15684.2,53395.0,2874.0,E02006793,E12000007
E01001563,479.0,0.0,0.0,0.0,0.0,16.576,6,7.852,8925.4,34468.0,1132.0,E02000305,E12000007
E01001564,237.0,0.0,0.0,0.0,0.0,10.265,8,8.097,7185.5,44172.0,1797.0,E02000298,E12000007
E01001565,162.0,0.0,0.0,0.0,0.0,16.271,6,6.139,7521.3,36018.0,803.0,E02000305,E12000007
E01001566,230.0,0.0,0.0,0.0,0.0,13.927,7,10.674,8967.8,22428.0,526.0,E02000305,E12000007
