osm_id,code,fclass,name
"1135778173","2012",community_centre,Royal British Legion
"1135887922","2012",community_centre,The Vibe
"1135906963","2253",swimming_pool,
"1135906964","2253",swimming_pool,
"1135924867","2252",pitch,
"1135952518","2502",bakery,Charles Artisan Bread
"1135959485","2082",school,Valence Primary School
"1136139752","2304",pub,The Swan
"1136154015","2301",restaurant,
"1136154016","2401",hotel,Travelodge
"15406999","2255",golf_course,Wyke Green Golf Club
"1136432730","2120",doctors,Southgate Road Medical Centre
"1136464764","2012",community_centre,Cranham Social Hall
"1136507499","2303",cafe,Daisy Grey
"15411147","2258",track,
"1136705915","2252",pitch,
"1136754498","2529",beauty_shop,Euclase
"1136802886","2204",park,
"1136961278","2252",pitch,
"1136961279","2252",pitch,
"1136961280","2252",pitch,
"1136961281","2252",pitch,
"1136961282","2252",pitch,
"1136968570","2252",pitch,
"1136968571","2252",pitch,
"1136968572","2252",pitch,
"1136971113","2252",pitch,
"1136971114","2252",pitch,
"1137012238","2120",doctors,The Moorings Surgery
"1137080960","2901",toilet,
"1137080961","2901",toilet,
"1137108761","2511",convenience,Tesco Express
"1137370371","2511",convenience,Sainsbury's Local
"1137432542","2304",pub,The Unicorn
"1137592691","2205",playground,
"1137602488","2301",restaurant,Chefs Pizza
"1137602490","2512",clothes,ZOOFASHIONS
"1137640594","2082",school,Aldborough Primary School
"1137803447","2111",clinic,The Petersfield Centre
"1137805773","2015",graveyard,Gardens of Peace Muslim Cemetery (Maylands)
"1137812767","2253",swimming_pool,
"1137886523","2253",swimming_pool,
"1137887522","2303",cafe,Badu Cafe
"1137888830","2303",cafe,
"1138026234","2251",sports_centre,The Hogarth Health Club
"1138031012","2252",pitch,
"15437206","2251",sports_centre,The Mill Hill Cricket Club
"1138113812","2421",shelter,
"1138113813","2421",shelter,
"1138113814","2421",shelter,
"1138279630","2205",playground,
"1138295351","2252",pitch,
"1138295352","2252",pitch,
"1138295353","2252",pitch,
"1138295354","2252",pitch,
"15441621","2204",park,Kennington Open Space
"1138362442","2252",pitch,
"1138555093","2204",park,
"1138664991","2205",playground,
"1138665709","2205",playground,
"1138666766","2205",playground,
"1138670499","2005",post_office,Hounslow Heath Post Office
"1138674114","2205",playground,
"1138674346","2205",playground,
"1138676437","2252",pitch,
"1138676438","2205",playground,
"1138677077","2258",track,
"1138677078","2252",pitch,
"1138677845","2205",playground,
"1138677846","2205",playground,
"1138677904","2205",playground,
"1138687224","2205",playground,
"1138687896","2252",pitch,
"1138687897","2205",playground,
"1138688307","2205",playground,
"1138689960","2205",playground,
"1138689961","2205",playground,
"1138689964","2205",playground,
"1138808690","2303",cafe,Serpentine Coffee House
"1138951827","2421",shelter,
"1138951828","2421",shelter,
"1139128400","2205",playground,
"1139559396","2205",playground,
"1140427661","2252",pitch,
"1140667484","2253",swimming_pool,
"15101090","2204",park,River Side Walk
"15101776","2204",park,
"1141041324","2252",pitch,
"1141360468","2251",sports_centre,Ealing Lawn Tennis Club
"1141379302","2205",playground,
"1141587118","2501",supermarket,Lidl
"1141797695","2303",cafe,Munchies Cafe
"1141797698","2561",hairdresser,Harpers
"1141797699","2511",convenience,Nisa Local
"1141797703","2005",post_office,Mottingham Post Office
"1141797704","2304",pub,The Bat and Ball
"1142161025","2206",dog_park,
"1142973853","2082",school,Woolwich Polytechnic School for Girls
"1142973855","2252",pitch,
"1142973856","2252",pitch,
"1142973857","2252",pitch,
"1142973862","2252",pitch,
"1142973863","2252",pitch,
"1142973864","2252",pitch,
"1142973865","2252",pitch,
"1142973866","2252",pitch,
"1143061126","2111",clinic,
"1143061131","2111",clinic,Gallions Reach Health Centre
"1143761884","2724",memorial,Mottingham War Memorial
"1143906242","2012",community_centre,Romford United Services And Social Club
"1143989320","2301",restaurant,Shish Meze
"1144028464","2543",doityourself,Bowmite
"1144033921","2304",pub,The Ardleigh
"1144164740","2204",park,
"1144420329","2012",community_centre,Edgware Friends Meeting House
"15470561","2012",community_centre,Ismaili Centre
"1145427860","2205",playground,
"1146669717","2541",car_dealership,Glyn Hopkin Nissan
"1146724760","2307",biergarten,
"1146918470","2901",toilet,
"1146950419","2205",playground,
"1147401356","2950",tower,
"1147401357","2950",tower,
"1147752729","2204",park,
"1147754918","2721",attraction,Woodlands Farm
"1147754919","2252",pitch,
"1147954768","2901",toilet,
"1147954771","2252",pitch,
"1147954772","2252",pitch,
"1147954773","2205",playground,
"1147957077","2731",castle,Crumbles Castle
"1148054868","2083",kindergarten,Co-operative Childcare
